工作空间ID,业务名称,业务描述,使用类型
"36480","sync_full_divx_management","{&amp;quot;layout&amp;quot;:{&amp;quot;type&amp;quot;:&amp;quot;dagre&amp;quot;,&amp;quot;rankdir&amp;quot;:&amp;quot;TB&amp;quot;,&amp;quot;nodesep&amp;quot;:60,&amp;quot;ranksep&amp;quot;:20}}","NORMAL"
"36480","sync_full_divx_social","{&amp;quot;layout&amp;quot;:{&amp;quot;type&amp;quot;:&amp;quot;dagre&amp;quot;,&amp;quot;rankdir&amp;quot;:&amp;quot;TB&amp;quot;,&amp;quot;nodesep&amp;quot;:60,&amp;quot;ranksep&amp;quot;:20}}","NORMAL"
"36480","sync_full_divx_user","divx_user元数据整合","NORMAL"
"36480","model","","NORMAL"
"36480","sync_social_basics_data","{"layout":{"type":"dagre","rankdir":"TB","nodesep":60,"ranksep":20}}","NORMAL"
"36480","直播数据统计","机构每日直播时长统计、用户时长消耗、机构直播时长消耗","NORMAL"
"36480","oss_课程_出勤_课时消耗_数据统计","教务模块机构总计、学员概览、学员明细、老师明细、班级明细、课程明细数据统计流程","NORMAL"
"36480","oss_课程财务_线索_数据统计","财务概览数据统计","NORMAL"
"36480","tx报表生成","tx报表生成","NORMAL"
"36480","oss_教学_学习_成就_数据统计","教学数据
学习数据
任务数据","NORMAL"
"36480","sync_content_basics_data","","NORMAL"
"36480","oss_作业_数据统计","oss_作业_数据统计(学员&老师&机构维度)","NORMAL"
"36480","oss_学员作品_数据统计","作品数据统计","NORMAL"
"36480","习题数据统计_节点暂时已下线","","NORMAL"
"36480","oss_课程详请_数据统计","","NORMAL"
"36480","数据分表","对数据量较大的表做分表处理","NORMAL"
"36480","机构与用户_数据统计","机构与用户相关数据统计","NORMAL"
"36480","sync_user_basics_data","user基础数据同步","NORMAL"
"36480","sync_ugc_basics_data","同步ugc库中表","NORMAL"
"36480","UGC表数据同步","","NORMAL"
"36480","机构与用户_数据统计_历史数据补充脚本","补充机构用户历史数据","NORMAL"
"36480","cfm清除","","NORMAL"
"36480","sync_oss_basics_data","oss基础数据同步","NORMAL"
"36480","财务_商城订单_数据统计","","NORMAL"
"36480","sync_wechat_marketing_basics_data","","NORMAL"
"36480","财务_直播_数据统计","","NORMAL"
"36480","业务管理_回款数据统计","","NORMAL"
"36480","财务_账单_数据统计","","NORMAL"
"36480","sync_management_basics_data","","NORMAL"
"36480","机构_未打包_数据统计","","NORMAL"
"36480","机构_未打包_数据统计_历史数据补充脚本","","NORMAL"
"36480","同步线上osf_projects数据","","MANUAL_BIZ"
"36480","财务_回款_数据统计","","NORMAL"
"36480","test","","NORMAL"
"36480","flink_sync","","MANUAL_BIZ"
"36480","账单数据收集","","NORMAL"
"36480","初始化账单配置","","MANUAL_BIZ"
"36480","账单初始化","","NORMAL"
"36480","历史数据补充节点","","MANUAL_BIZ"
"36480","成就数据历史数据补充","","MANUAL_BIZ"
"36480","mysql同步数据流程","","MANUAL_BIZ"
"36480","年费套餐初始化","年费套餐历史数据&人员绑定初始化","NORMAL"
"36480","oss_bi_时间补充","","MANUAL_BIZ"
"36480","polarDB验证","","NORMAL"
"36480","sync_data_to_elasticsearch","","NORMAL"
"36480","sync_apppages_basics_data","","NORMAL"
"36480","下架书籍清洗","","NORMAL"
"36480","sync_activation_basics_data","","NORMAL"
"36480","分表数据收集","","NORMAL"
"36480","背单词大数据支持数据看板","背单词大数据支持数据看板","NORMAL"
"36480","oss_全文搜索_es数据初始化","","NORMAL"
"36480","雪梨任务导出","","NORMAL"
"36480","app_全文搜索_单词es数据初始化","","NORMAL"
"36480","sync_dictionary_basics_data","字典词库基础数据收集","NORMAL"
"36480","用户活跃数据统计_日周月","","NORMAL"
"36480","预充值第一版优学豆","","NORMAL"
"36480","预充值AI外教每日计算","","NORMAL"
"36480","预充值授权内容每日计算","","NORMAL"
"36480","预充值使用费每日计算","","NORMAL"
"36480","日活相关历史数据补充","","MANUAL_BIZ"
"36480","账单数据检查","","NORMAL"
"36480","实时数据平台初始化","","NORMAL"
"36480","sync_foreign_basics_data","在线外教业务","NORMAL"
"36480","财务_在线外教","","NORMAL"
"36480","客户账户余额统计预付费","AI 外教，增值内容","NORMAL"
"36480","客户账户余额统计预付费初始化","AI 外教， 增值内容","NORMAL"
"36480","财务周期业务分摊","","NORMAL"
"36480","机构与用户_数据统计_检查","","NORMAL"
"36480","领视云盘_习题表收集","","NORMAL"
"36480","领视云盘_dcp单服务收集","","NORMAL"
"36480","领视云盘_dcp多环境收集","","NORMAL"
"36480","BSI_听说模考_数据统计","","NORMAL"
"36480","在线外教_数据统计","","NORMAL"
"36480","sync_payment_basics_data","","NORMAL"
"36480","sync_tpems_basics_data","DIM 习题数据收集表","NORMAL"
"36480","GDB","","NORMAL"
"36480","BI_习题数据统计","习题数据统计","NORMAL"
"36480","sync_ai_teach_basics_data","","NORMAL"
"36480","年报test","","NORMAL"
"36480","用户画像","","NORMAL"
"36480","test_tn","tn的测试业务流程","NORMAL"
"36480","annual_report","年报统计","NORMAL"
"36480","sync_ai_basics_data","ai服务相关表数据同步","NORMAL"
"36480","oss_线索统计","","NORMAL"
"36480","AI任务数据统计","","NORMAL"
"36480","sync_lzai_basics_data","","NORMAL"
"36480","AI外教_数据统计","","NORMAL"
"36480","COS视频清理","","NORMAL"
